nagrajenec,država
F.W. de Klerk,South Africa
Nelson Mandela,South Africa
Russell Alan Hulse,United States
"Joseph H. Taylor, Jr.",United States
Richard J. Roberts,United Kingdom
Phillip A. Sharp,United States
George A. Olah,United States
John C. Harsanyi,United States
John F. Nash,United States
Reinhard Selten,Germany
Oe Kenzaburo,Japan
Yasser Arafat,Palestinian
Shimon Peres,Israel
Yitzhak Rabin,Israel
Bertram N. Brockhouse,Canada
Clifford G. Shull,United States
Alfred G. Gilman,United States
Martin Rodbell,United States
Paul Crutzen,Netherlands
Mario Molina,United States
F. Sherwood Rowland,United States
"Robert E. Lucas, Jr.",United States
Seamus Heaney,Ireland
Pugwash Conferences,(founded 1957)
Joseph Rotblat,United Kingdom
Martin Lewis Perl,United States
Frederick Reines,United States
Edward B. Lewis,United States
Christiane Nüsslein-Volhard,Germany
Eric F. Wieschaus,United States
"Robert F. Curl, Jr.",United States
Sir Harold W. Kroto,United Kingdom
Richard E. Smalley,United States
James A. Mirrlees,United Kingdom
William Vickrey,United States
Wisława Szymborska,Poland
Carlos Felipe Ximenes Belo,Timorese
José Ramos-Horta,Timorese
David M. Lee,United States
Douglas D. Osheroff,United States
Robert C. Richardson,United States
Peter C. Doherty,Australia
Rolf M. Zinkernagel,Switzerland
Paul D. Boyer,United States
Jens C. Skou,Denmark
John E. Walker,United Kingdom
Robert C. Merton,United States
Myron S. Scholes,United States
Dario Fo,Italy
International Campaign to Ban Landmines,(founded 1992)
Jody Williams,United States
Steven Chu,United States
Claude Cohen-Tannoudji,France
William D. Phillips,United States
Stanley B. Prusiner,United States
Walter Kohn,United States
John A. Pople,United Kingdom
Amartya Sen,India
José Saramago,Portugal
John Hume,Northern Ireland
David Trimble,Northern Ireland
Robert B. Laughlin,United States
Horst L. Störmer,United States
Daniel C. Tsui,United States
Robert F. Furchgott,United States
Louis J. Ignarro,United States
Ferid Murad,United States
Ahmed H. Zewail,Egypt
Robert A. Mundell,Canada
Günter Grass,Germany
Doctors Without Borders,(founded 1971)
Gerardus 't Hooft,Netherlands
Martinus J.G. Veltman,Netherlands
Günter Blobel,United States
Alan J. Heeger,United States
Alan G. MacDiarmid,United States
Shirakawa Hideki,Japan
James J. Heckman,United States
Daniel L. McFadden,United States
Gao Xingjian,France
Kim Dae-Jung,South Korea
Zhores I. Alferov,Russia
Jack S. Kilby,United States
Herbert Kroemer,Germany
Arvid Carlsson,Sweden
Paul Greengard,United States
Eric R. Kandel,United States
William S. Knowles,United States
Noyori Ryoji,Japan
K. Barry Sharpless,United States
George A. Akerlof,United States
A. Michael Spence,United States
Joseph E. Stiglitz,United States
Sir V.S. Naipaul,Trinidad
United Nations,(founded 1945)
Kofi Annan,Ghana
Eric A. Cornell,United States
Wolfgang Ketterle,Germany
Carl E. Wieman,United States
Leland H. Hartwell,United States
R. Timothy Hunt,United Kingdom
Sir Paul M. Nurse,United Kingdom
John B. Fenn,United States
Tanaka Koichi,Japan
Kurt Wüthrich,Switzerland
Daniel Kahneman,United States
Vernon L. Smith,United States
Imre Kertész,Hungary
Jimmy Carter,United States
"Raymond Davis, Jr.",United States
Riccardo Giacconi,United States
Koshiba Masatoshi,Japan
Sydney Brenner,United Kingdom
H. Robert Horvitz,United States
John E. Sulston,United Kingdom
Peter Agre,United States
Roderick MacKinnon,United States
Robert F. Engle,United States
Clive W.J. Granger,United Kingdom
J.M. Coetzee,South Africa
Shirin Ebadi,Iran
Alexei A. Abrikosov,United States
Vitaly L. Ginzburg,Russia
Anthony J. Leggett,United States
Paul Lauterbur,United States
Sir Peter Mansfield,United Kingdom
Aaron Ciechanover,Israel
Avram Hershko,Israel
Irwin Rose,United States
Finn E. Kydland,Norway
Edward C. Prescott,United States
Elfriede Jelinek,Austria
Wangari Maathi,Kenya
David J. Gross,United States
H. David Politzer,United States
Frank Wilczek,United States
Richard Axel,United States
Linda B. Buck,United States
Yves Chauvin,France
Robert H. Grubbs,United States
Richard R. Schrock,United States
Robert J. Aumann,Israel
Thomas C. Schelling,United States
Harold Pinter,United Kingdom
Mohamed ElBaradei,Egypt
International Atomic Energy Agency,(founded 1957)
Roy J. Glauber,United States
John L. Hall,United States
Theodor W. Hänsch,Germany
Barry J. Marshall,Australia
J. Robin Warren,Australia
Roger D. Kornberg,United States
Edmund S. Phelps,United States
Orhan Pamuk,Turkey
Grameen Bank,(founded 1976)
Muhammad Yunus,Bangladesh
John C. Mather,United States
George F. Smoot,United States
Andrew Z. Fire,United States
Craig C. Mello,United States
Gerhard Ertl,Germany
Leonid Hurwicz,United States
Eric S. Maskin,United States
Roger B. Myerson,United States
Doris Lessing,United States
Al Gore,United States
Intergovernmental Panel on Climate Change,(founded 1988)
Albert Fert,France
Peter Grünberg,Germany
Mario R. Capecchi,United States
Sir Martin J. Evans,United Kingdom
Oliver Smithies,United States
Martin Chalfie,United States
Osamu Shimomura,United States
Roger Y. Tsien,United States
Paul Krugman,United States
Jean-Marie Gustave Le Clézio,France
Martti Ahtisaari,Finland
Kobayashi Makoto,Japan
Maskawa Toshihide,Japan
Yoichiro Nambu,United States
Françoise Barré-Sinoussi,France
Luc Montagnier,France
Harald zur Hausen,Germany
Venkatraman Ramakrishnan,United States
Thomas Steitz,United States
Ada Yonath,Israel
Elinor Ostrom,United States
Oliver E. Williamson,United States
Herta Müller,Germany
Barack Obama,United States
Willard Boyle,Canada
Charles Kao,United Kingdom
George E. Smith,United States
Elizabeth H. Blackburn,United States
Carol W. Greider,United States
Jack W. Szostak,United States
Richard F. Heck,United States
Negishi Ei-ichi,Japan
Suzmediuki Akira,Japan
Peter A. Diamond,United States
Dale T. Mortensen,United States
Christopher A. Pissarides,Cyprus
Mario Vargas Llosa,Peru
Liu Xiaobo,China
Andre Geim,Netherlands
Konstantin Novoselov,Russia
Robert Edwards,United Kingdom
Daniel Shechtman,Israel
Thomas J. Sargent,United States
Christopher A. Sims,United States
Tomas Tranströmer,Sweden
Leymah Gbowee,Liberia
Ellen Johnson Sirleaf,Liberia
Tawakkul Karmān,Yemen
Saul Perlmutter,United States
Adam G. Riess,United States
Brian P. Schmidt,United States
Bruce A. Beutler,United States
Jules A. Hoffman,Luxembourg
Ralph M. Steinman,Canada
Brian K. Kobilka,United States
Robert J. Lefkowitz,United States
Alvin E. Roth,United States
Lloyd S. Shapley,United States
Mo Yan,China
European Union,(founded 1993)
Serge Haroche,France
David J. Wineland,United States
Sir John Bertrand Gurdon,United Kingdom
Shinya Yamanaka,Japan
Martin Karplus,Austria
Michael Levitt,United Kingdom
Arieh Warshel,Israel
Eugene F. Fama,United States
Lars P. Hansen,United States
Robert J. Shiller,United States
Alice Munro,Canada
François Englert,Belgium
Peter Higgs,United Kingdom
James E. Rothman,United States
Randy W. Schekman,United States
Thomas C. Südhof,Germany
Eric Betzig,United States
Stefan W. Hell,Germany
William E. Moerner,United States
Jean Tirole,France
Patrick Modiano,France
Kailash Satyarthi,India
Malala Yousafzai,Pakistan
Akasaki Isamu,Japan
Amano Hiroshi,Japan
Shuji Nakamura,United States
Edvard I. Moser,Norway
May-Britt Moser,Norway
John O'Keefe,United States
Tomas Lindahl,Sweden
Paul Modrich,United States
Aziz Sancar,Turkey
Angus S. Deaton,United Kingdom
Svetlana Alexievich,Belarus
National Dialogue Quartet,(founded 2013)
Kajita Takaaki,Japan
Arthur B. McDonald,Canada
