nagrajenec,univerza
Charles H. Townes,Massachusetts Institute of Technology
Daniel C. Tsui,Princeton University
Harold Urey,Columbia University
John Vane,Wellcome Research Laboratories
Harold E. Varmus,UCSF School of Medicine
William Vickrey,Columbia University
Vincent du Vigneaud,Cornell University
Artturi Ilmari Virtanen,University of Helsinki
John Hasbrouck Van Vleck,Harvard University
Johannes Diderik van der Waals,University of Amsterdam
Julius Wagner-Jauregg,University of Vienna
Selman Waksman,Rutgers University
George Wald,Harvard University
John E. Walker,MRC Laboratory of Molecular Biology
Otto Wallach,University of Göttingen
Ernest Walton,Trinity College Dublin
Otto Heinrich Warburg,Max Planck Institute for Biology
Arieh Warshel,University of Southern California
James Watson,Harvard University
Steven Weinberg,Harvard University
Drew Weissman,University of Pennsylvania
Thomas Huckle Weller,Boston Children's Hospital
Alfred Werner,University of Zurich
M. Stanley Whittingham,Binghamton University
George Whipple,University of Rochester
Heinrich Otto Wieland,Ludwig Maximilian University of Munich
Carl Wieman,JILA
Wilhelm Wien,University of Würzburg
Eric F. Wieschaus,Princeton University
Torsten Wiesel,Harvard Medical School
Eugene Wigner,Princeton University
Frank Wilczek,Massachusetts Institute of Technology
Maurice Wilkins,University of London
Geoffrey Wilkinson,Imperial College London
Oliver E. Williamson,"University of California, Berkeley"
Richard Willstätter,Ludwig Maximilian University of Munich
Charles Thomson Rees Wilson,University of Cambridge
Kenneth G. Wilson,Cornell University
Robert B. Wilson,Stanford University
Robert Woodrow Wilson,Bell Labs
Adolf Windaus,University of Göttingen
Gregory Winter,MRC Laboratory of Molecular Biology
Georg Wittig,Heidelberg University
Robert Burns Woodward,Harvard University
Rosalyn Sussman Yalow,James J. Peters VA Medical Center
Chen-ning Yang,Institute for Advanced Study
Ada Yonath,Weizmann Institute of Science
Michael W. Young,Rockefeller University
Tu Youyou,China Academy of Traditional Chinese Medicine
Pieter Zeeman,University of Amsterdam
Anton Zeilinger,University of Vienna
Frits Zernike,University of Groningen
Ahmed Zewail,California Institute of Technology
Karl Ziegler,Max Planck Institute for Coal Research
Rolf M. Zinkernagel,University of Zurich
Richard Adolf Zsigmondy,University of Göttingen
